  PID TTY           TIME CMD
    1 ??         1:33.17 /sbin/launchd
   39 ??         0:28.01 /usr/sbin/syslogd
   40 ??         0:19.76 /usr/libexec/UserEventAgent (System)
   42 ??         0:16.61 /usr/libexec/kextd
   43 ??         0:31.11 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
   45 ??         0:02.48 /usr/libexec/thermald
   47 ??         0:01.60 /System/Library/CoreServices/appleeventsd --server
   48 ??         0:18.26 /usr/libexec/configd
   49 ??         0:06.56 /System/Library/CoreServices/powerd.bundle/powerd
   52 ??         0:25.23 /usr/libexec/airportd
   54 ??         0:01.40 /usr/libexec/warmd
   55 ??         2:27.47 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   61 ??         0:01.15 /usr/libexec/diskarbitrationd
   68 ??         0:20.16 /usr/libexec/opendirectoryd
   69 ??         0:04.27 /usr/sbin/wirelessproxd
   71 ??         0:22.25 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
   72 ??         0:46.89 /System/Library/CoreServices/launchservicesd
   74 ??         0:00.89 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
   75 ??         2:19.80 /usr/sbin/securityd -i
   77 ??         0:30.41 /usr/libexec/locationd
   80 ??         0:03.03 /usr/sbin/blued
   81 ??         0:00.14 autofsd
   84 ??         0:49.57 /usr/sbin/mDNSResponder
   86 ??         0:00.04 /usr/libexec/stackshot -t -O
   87 ??         0:02.64 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
   88 ??         0:16.62 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
   89 ??         0:00.20 /System/Library/CoreServices/logind
   90 ??         0:00.03 /usr/sbin/KernelEventAgent
   92 ??         9:49.66 /usr/libexec/hidd
   93 ??         0:29.00 /usr/sbin/notifyd
   94 ??         0:10.59 /usr/libexec/taskgated -s
   99 ??         0:01.41 /usr/sbin/distnoted daemon
  122 ??         0:02.06 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  127 ??         0:22.09 /System/Library/CoreServices/coreservicesd
  144 ??        51:26.87 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/CoreGraphics.framework/Resources/WindowServer -daemon
  148 ??         0:00.13 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
  166 ??         0:35.95 /usr/libexec/networkd
  176 ??         1:54.75 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  182 ??         0:02.34 /usr/sbin/ntpd -c /private/etc/ntp-restrict.conf -n -g -p /var/run/ntpd.pid -f /var/db/ntp.drift
  183 ??         0:00.26 /usr/libexec/usbd
  185 ??         6:33.98 sysmond
  188 ??         0:01.31 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  190 ??         0:00.27 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  219 ??         0:00.82 /usr/libexec/watchdogd
  225 ??         0:21.93 /usr/libexec/securityd_service
  226 ??         0:07.02 /usr/libexec/UserEventAgent (Aqua)
  228 ??         0:35.49 /usr/sbin/distnoted agent
  232 ??         1:36.42 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  234 ??         0:32.11 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  235 ??         1:59.00 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  236 ??         1:17.99 /usr/sbin/coreaudiod
  241 ??         0:00.03 /usr/sbin/pboard
  244 ??         0:01.80 /System/Library/CoreServices/backupd.bundle/Contents/Resources/TMCacheDelete
  245 ??         0:28.79 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  246 ??         0:10.69 /usr/libexec/sharingd
  252 ??         0:06.43 /usr/sbin/usernoted
  254 ??         0:02.92 /usr/sbin/filecoordinationd
  255 ??         0:05.44 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  256 ??         0:13.05 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  258 ??         1:29.74 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  263 ??         0:11.33 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  266 ??         1:32.95 /usr/libexec/nsurlsessiond
  269 ??         0:11.82 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  271 ??         0:01.80 /System/Library/CoreServices/Menu Extras/AirPort.menu/Contents/XPCServices/com.apple.wifi.proxy.xpc/Contents/MacOS/com.apple.wifi.proxy
  278 ??         0:09.12 /usr/libexec/fmfd
  280 ??         0:08.01 /System/Library/PrivateFrameworks/ParsecUI.framework/Versions/A/Support/SpotlightNetHelper.app/Contents/MacOS/SpotlightNetHelper
  282 ??         0:10.92 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  286 ??         0:00.69 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
  288 ??         0:09.54 /Library/Input Methods/SogouInput.app/Contents/SogouServices
  289 ??         0:02.24 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  292 ??         0:19.86 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  299 ??         0:00.23 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
  301 ??         0:03.72 /Users/Lai/Library/Application Support/Spotify/SpotifyWebHelper
  302 ??         0:05.32 /System/Library/CoreServices/cloudpaird
  305 ??         0:04.81 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  306 ??         0:03.39 /System/Library/CoreServices/diagnostics_agent
  311 ??         0:00.23 /Applications/iTunes.app/Contents/MacOS/iTunesHelper.app/Contents/MacOS/iTunesHelper
  312 ??         0:03.07 /System/Library/CoreServices/Menu Extras/TextInput.menu/Contents/SharedSupport/TISwitcher.app/Contents/MacOS/TISwitcher
